epoch,train_loss,val_f1,val_acc
0,1.502155987989335,0.4481493506493507,0.4634146341463415
1,0.9751526571455456,0.6264646464646465,0.6097560975609756
2,0.7505923935345241,0.6592731829573933,0.6585365853658537
3,0.7222767074902853,0.6235497835497836,0.6097560975609756
4,0.643545172044209,0.5537336093857833,0.5609756097560976
5,0.6475052492959159,0.5589374835690626,0.5609756097560976
6,0.6137491464614868,0.5422746521476104,0.5365853658536586
7,0.6460179331756774,0.6291176470588236,0.6097560975609756
8,0.5771444865635463,0.6683400809716599,0.6585365853658537
9,0.5140066757088616,0.6015538847117795,0.5853658536585366
10,0.5563779132706779,0.6164444444444444,0.6097560975609756
11,0.5399074880849748,0.6463855950812473,0.6341463414634146
12,0.514169956956591,0.6859991216512955,0.6829268292682927
13,0.5100395807198116,0.6416821465428277,0.6341463414634146
14,0.5449438222817012,0.6624708624708624,0.6585365853658537
15,0.5392238440967742,0.7164102564102564,0.7073170731707317
16,0.5127331359045846,0.7757142857142856,0.7804878048780488
17,0.470493821870713,0.7321212121212122,0.7317073170731707
18,0.4755330951440902,0.6881746031746031,0.6829268292682927
19,0.4784846490337735,0.6791417045287015,0.6829268292682927
20,0.45681916390146526,0.7093734335839599,0.7073170731707317
21,0.4654479282242911,0.6914496813218041,0.6829268292682927
22,0.4668381568931398,0.6775062385454095,0.6829268292682927
23,0.45122291928245906,0.6954092965857672,0.7073170731707317
24,0.4654663971492222,0.6614580191050778,0.6585365853658537
